INFO 2025-05-26 00:30:06,211 mongo_service 8056 12268 Created turbine: T2_VESTAS_6_MW with ID: 68338bdea746e85d12847a84
WARNING 2025-05-26 00:30:06,248 serializers 8056 12268 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:06,248 serializers 8056 12268 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:06,248 serializers 8056 12268 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
ERROR 2025-05-26 00:30:07,603 mongo_service 8056 19004 Error creating turbine: Turbine with name 'T2_VESTAS_6_MW' already exists
WARNING 2025-05-26 00:30:11,664 serializers 8056 15232 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:11,666 serializers 8056 15232 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:11,667 serializers 8056 15232 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:13,649 serializers 8056 15232 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:13,650 serializers 8056 15232 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:13,651 serializers 8056 15232 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:14,575 serializers 8056 15232 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:14,575 serializers 8056 15232 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:14,575 serializers 8056 15232 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
INFO 2025-05-26 00:30:36,129 mongo_service 8056 15232 Created turbine: T1_VESTAS_6_MW with ID: 68338bfca746e85d12847a85
WARNING 2025-05-26 00:30:36,170 serializers 8056 15232 Error getting wind speed for turbine T1_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:36,171 serializers 8056 15232 Error getting wind speed for turbine T1_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:36,171 serializers 8056 15232 Error getting wind speed for turbine T1_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:36,260 serializers 8056 15232 Error getting wind speed for turbine T1_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:36,262 serializers 8056 15232 Error getting wind speed for turbine T1_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:36,262 serializers 8056 15232 Error getting wind speed for turbine T1_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:36,263 serializers 8056 15232 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:36,264 serializers 8056 15232 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:36,265 serializers 8056 15232 Error getting wind speed for turbine T2_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:39,410 serializers 8056 15232 Error getting wind speed for turbine T1_VESTAS_6_MW: API key for WeatherAPI is missing!
WARNING 2025-05-26 00:30:39,410 serializers 8056 15232 Error getting wind speed for turbine T1_VESTAS_6_MW: API key for WeatherAPI is missing!
